"pict1","pict2","channel","mean","var","lighting","ISO","shutter.speed","aperture","focal.length","count"
"crop_206.fit","crop_207.fit","Blue",182.1611328125,90.804861238392,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_208.fit","Blue",181.2705078125,87.6580446603128,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_205.fit","Blue",186.46044921875,89.4845196228922,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_205.fit","Red",103.77197265625,50.134537951338,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_207.fit","Red",102.92431640625,50.7274860818365,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_209.fit","Green B",224.3642578125,87.9752489613881,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_207.fit","Red",102.880859375,54.2868707233627,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_208.fit","Green B",222.45751953125,90.422596205248,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_208.fit","crop_209.fit","Green B",221.05712890625,84.7621573917094,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_206.fit","Blue",183.93798828125,86.5989158533419,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_206.fit","Red",101.98828125,47.7153573283236,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_207.fit","Blue",185.03076171875,89.1842844078385,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_207.fit","Blue",184.68359375,92.0771016617791,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_206.fit","Red",101.94482421875,47.9341889471835,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_38.fit","crop_40.fit","Blue",3269.94287109375,1611.91612397284,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_41.fit","Blue",3279.30517578125,1514.36485778272,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_40.fit","Blue",3278.76171875,1512.99466756782,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_42.fit","Blue",3274.71484375,1492.66628291483,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_40.fit","Red",1822.7041015625,769.227753848974,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_42.fit","Red",1821.24853515625,811.841206450849,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_40.fit","Red",1817.45703125,791.607524972507,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_40.fit","Red",1811.3251953125,785.769237231183,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_41.fit","Green R",4135.4052734375,1532.46251641923,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_39.fit","Green R",4132.72216796875,1720.10458239782,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_40.fit","Blue",3259.43017578125,1493.2165195618,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_42.fit","Red",1838.87451171875,815.700363800556,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_41.fit","Red",1836.2734375,773.479653516007,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_39.fit","Red",1834.1982421875,775.67152370479,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_42.fit","Red",1832.74267578125,855.065947561553,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_38.fit","Red",1828.951171875,802.907531081989,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_41.fit","Red",1824.779296875,806.397374068304,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_42.fit","Green R",4089.6572265625,1534.86873587182,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_41.fit","Green R",4146.65283203125,1724.70756153394,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_41.fit","crop_42.fit","Green R",4144.5166015625,1734.33446167827,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_42.fit","Green R",4141.83349609375,1694.46186871869,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_39.fit","Green B",4147.44384765625,1622.52271534015,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_42.fit","Green B",4143.390625,1571.40582042705,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_42.fit","Green R",4130.5859375,1598.53921523705,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_41.fit","Green R",4122.4228515625,1539.42769237231,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_39.fit","Green R",4119.73974609375,1700.2836551312,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_42.fit","Green R",4117.603515625,1596.87096774194,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_38.fit","Green R",4108.4921875,1631.97396597019,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_41.fit","Green R",4094.4765625,1589.58797653959,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_40.fit","Green R",4091.79345703125,1641.73398504322,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_41.fit","Green B",4162.4345703125,1748.65728670271,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_40.fit","Green R",4080.5458984375,1704.13547585227,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_40.fit","Green R",4067.5634765625,1543.82511417094,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_41.fit","Green B",4150.31201171875,1514.8400036466,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_38.fit","crop_42.fit","Blue",3308.22705078125,1572.50343228785,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_41.fit","Blue",3302.3046875,1477.76344086022,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_41.fit","Green B",4137.71826171875,1649.66460042079,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_39.fit","Green B",4134.85009765625,1708.02216548677,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_42.fit","Green B",4130.796875,1657.9780345033,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_37.fit","crop_38.fit","Green B",4122.7275390625,1566.08602150538,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_40.fit","crop_41.fit","Green B",4111.07568359375,1606.25896518741,"Normal",100,"1/125",5.6,"90.0 mm",6
"crop_39.fit","crop_40.fit","Green B",4108.20751953125,1589.58330230862,"Normal",100,"1/125",5.6,"90.0 mm",6
